feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
SRR1804078	210	0	0	0	0	0	986	0	0	5553	254	0	14741	826	0	838	0	2231	0	0	0	109	0	0	0	0	838	0	0	5532	5837	0	0	0	0	0	0	267	1236	0	0	372	0	0	0	0	0	1760	0
SRR1568868	0	5608	0	0	0	81	0	0	0	0	467	0	7053	443	724	0	0	1999	0	0	0	0	0	0	0	0	1608	0	0	13474	199	0	0	0	0	0	0	265	0	517	0	0	104	0	0	0	0	0	235
SRR1804677	444	815	0	2213	138	0	0	0	0	0	0	0	13133	0	0	37	0	3790	0	1056	0	0	488	0	0	0	0	0	0	257	2140	0	0	0	0	0	0	1320	210	0	0	100	0	0	0	142	0	0	145
SRR1031317	0	2018	309	0	0	5370	0	250	0	2001	614	0	9328	13107	82	85	0	906	0	0	0	0	169	0	792	0	160	3044	0	1041	2285	0	0	0	133	0	0	64	0	643	0	2771	0	0	0	0	0	2194	366
SRR1804303	2996	0	12543	10379	8057	0	5931	2481	3069	155	2685	2829	12239	0	0	4301	411	1259	0	3195	10566	2210	1723	0	0	0	987	0	937	9923	5031	3197	0	0	0	0	0	836	463	0	0	4227	61	493	843	1179	0	0	0
SRR1804166	1142	1372	0	493	1369	0	0	0	0	0	8133	0	4504	3738	0	0	0	7607	0	881	344	0	0	0	395	0	3610	1292	0	1666	11471	0	0	0	0	0	0	9305	0	1916	417	4246	0	0	0	2614	0	0	0
SRR539467	8904	354	0	4350	479	1054	7311	582	2188	7233	0	1592	5072	0	591	9619	1114	0	0	1921	1011	298	5165	0	0	0	151	0	0	4232	148	387	0	0	0	0	49	0	4472	0	0	0	0	1112	1939	0	0	1485	0
SRR569355	0	0	0	66	0	2093	355	0	0	0	0	0	9398	0	0	1181	0	0	291	0	0	0	147	0	0	0	0	0	0	543	1023	0	0	0	145	16	0	0	0	0	0	763	0	0	0	0	0	0	143
SRR1803782	0	4650	0	860	1407	0	0	0	0	0	904	0	0	0	0	0	0	250	0	1900	1519	0	1796	0	0	0	0	0	0	0	3155	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	0
SRR1031264	0	0	0	1512	394	0	0	221	0	0	3476	0	8500	0	0	0	0	0	0	0	408	0	214	0	0	0	619	106	0	2964	2420	0	0	0	0	0	0	448	0	0	0	718	0	0	0	0	0	0	0
SRR549457	2139	0	0	520	915	0	1037	0	0	0	0	0	8270	1387	0	0	0	655	0	0	0	0	0	595	0	0	40	0	0	3876	0	0	0	195	0	15	0	712	0	1548	0	829	0	0	0	0	0	7642	439
SRR1803875	0	2336	0	3051	1913	756	577	5890	349	2055	110	205	790	7200	446	3644	324	627	0	576	1324	120	0	0	466	0	1518	0	0	1640	1058	22	0	0	0	0	26	0	0	0	0	0	0	0	649	0	0	0	0
SRR549421	0	0	0	0	0	2266	0	0	0	0	0	0	6206	2150	0	0	0	0	0	0	0	0	0	0	0	0	3068	0	0	1736	0	0	0	0	0	0	0	0	0	3701	0	91	0	0	0	0	0	0	0
SRR549638	0	0	0	0	0	0	108	0	0	280	0	0	6272	1297	0	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0
SRR1568830	1153	0	0	1451	878	0	1439	2037	342	3246	0	0	6111	0	0	2748	0	0	0	0	645	0	0	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	1062	0	0	922	86	0	0	0	0	1970	0
SRR549496	0	0	0	0	0	241	0	0	0	0	0	0	4479	0	0	638	0	342	0	0	0	0	49	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0	0	0	0	0	0	0
SRR1569399	257	332	0	580	1839	0	0	3770	0	0	123	0	1870	574	0	0	120	0	0	315	1033	0	146	0	0	0	322	0	0	655	0	43	0	0	0	0	0	0	0	0	0	143	324	0	38	0	0	0	0
SRR1569948	0	1062	0	0	0	0	0	0	0	0	0	0	943	0	0	0	0	585	0	0	0	0	0	0	0	0	0	431	0	671	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0
SRR1031120	0	0	0	0	0	0	0	0	0	0	0	0	380	580	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	135
