feature	X1552	X16971	X1545	X8007	X6952	X13165	X6956	X1543	X1564	X9450	X6939	X1536	X8163	X9467	X8059	X2043	X17130	X16988	X17153	X8071	X6936	X8095	X17167	X2492	X8235	X2479	X8047	X16987	X1468	X9712	X15878	X1522	X2502	X1395	X15888	X8245	X8255	X8130	X5989	X2524	X8249	X7285	X1525	X7298	X19351	X8053	X9422	X9649	X6001
GBM.BM.288.Or	26485.4306981813	47690.4948186904	18013.2723324483	1297.82173606425	10259.2328576314	15043.494399976	3744.08551523498	0	0	0	23981.6077712654	0	17987.233670373	0	0	1825.44725706186	0	5579.12596358771	0	0	0	0	65.7818831373643	0	12857.6172415573	0	0	1554.09698912023	0	689.33931704363	0	0	1573.28337170196	0	0	0	1500.64920907112	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-34-OR	0	45667.0599444545	0	0	0	14302.0207867827	0	0	0	0	7198.31512999163	0	26028.2653524855	7823.27066423192	0	0	0	8632.1150337071	0	0	318.474142182155	0	0	0	0	0	5700.55389228141	6190.92411957444	0	2231.9840508582	6352.15998235285	0	0	55.9661672453996	0	0	0	0	0	0	0	1416.47704242523	517.020783124167	0	0	330.466892306169	0	0	0
GBM.BM.291.Or	0	222.302562600937	0	0	0	8221.50208263666	0	0	0	0	40.3738873383762	0	0	0	0	0	0	1572.8583305176	0	0	0	0	0	0	0	0	0	3245.91283266153	0	0	0	0	870.254217933902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-49-OR	6599.26934189816	13453.3688115842	9889.90186159386	0	41533.1559903849	0	1186.899019099	22533.0770603742	19177.3520623849	1922.30552918251	10982.6245291191	5154.77030231793	3416.66263724297	6471.85427800422	0	7018.90808494016	84.4817271470698	46099.3240953667	0	922.374266884402	7050.76185091365	0	8456.48239278702	0	202.202166614298	1112.11191637864	0	4820.99823276967	835.122647043985	1120.42159445868	22580.1652361611	2103.73350059671	1846.13348011548	0	1376.63666859324	0	216.051630081031	0	692.473173336638	0	0	0	150.959151787387	0	0	1419.57000534011	0	0	7837.41137582407
GBM.BM.265.Or	6041.02015387512	43116.0628519213	0	0	0	0	238.567730306982	0	0	0	9829.79919281821	0	0	0	0	0	0	134503.677642906	0	359.873355886804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010.88021316518	0	0	0	0	0	0	0	0	0	0	10359.5004245168	0	0	0
GBM.BM.279.Or	111321.176548062	30540.1197313441	0	0	0	76953.9097688031	0	97.6050924971467	0	4304.89829013731	42915.418037956	0	2589.1035062401	18914.8395039207	0	0	0	36627.5952370872	0	0	0	5429.92540892021	0	416.105920645731	0	0	3765.50172633729	3786.05016686301	0	89128.8607802893	155073.94353744	0	32517.9071319441	0	0	0	0	991.462255365754	0	0	0	0	986.325145234325	0	0	0	47749.4386716305	0	0
02-2020-30-OR	13301.6154529195	80966.0574353889	0	0	29186.2349354053	31016.5755391378	14971.1597793147	0	0	17454.9490845666	18467.6235120523	0	10585.184725137	0	7978.23231383955	0	0	62973.980360568	0	0	0	7619.00658787337	0	0	0	2148.51196101683	2709.58833300211	0	0	3585.41486488158	0	0	3055.12926940769	0	0	0	4074.64609167363	51550.6022748432	0	0	191.587053848634	16219.896826721	0	0	0	0	0	0	0
GBM.BM.260.Or	0	0	0	0	0	7239.18499583719	0	0	0	0	0	0	0	0	0	0	0	132.764667736555	0	0	0	0	0	0	0	0	0	340.209461074921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBM.BM.298.Or	0	0	0	0	0	0	0	0	0	0	6741.5857993395	0	6597.74862551315	94282.1405480912	0	0	0	0	0	0	0	0	0	3133.14887334795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-35-OR	6570.40245286572	45328.9327555517	0	947.917437210315	40729.6510385457	0	0	0	0	0	39432.6809710269	0	0	0	0	0	0	3860.11144105861	0	475.669760910591	8397.795635069	0	0	0	0	0	0	0	0	136.883384434703	0	0	0	0	0	0	2330.43962000081	0	0	0	0	0	32968.3631410981	0	0	0	0	0	0
