"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.4032","TGFA","Glioma","High - Low",-0.0329377863824068,0.93428841813026,0.953047723605234
"High...Low.4033","TGFB2","Glioma","High - Low",1.17006858753804,0.228449301979711,0.318123488261442
"High...Low.4034","TGFB3","Glioma","High - Low",0.8617610660348,0.124331479260198,0.197452563909404
"High...Low.4035","LEFTY2","Glioma","High - Low",0.0461591456226271,0.926783187730223,0.947925032391509
"High...Low.4036","TGFBR3","Glioma","High - Low",-0.118691258855585,0.764704831606064,0.822021596342649
"High...Low.4037","THBS2","Glioma","High - Low",0.163109780509562,0.531494007352138,0.621040739984731
"High...Low.4038","THBS4","Glioma","High - Low",0.951796642550685,0.0706029148676261,0.127320557399352
"High...Low.4039","THOP1","Glioma","High - Low",1.3249422430197,5.293968671464e-05,0.00147098848822116
"High...Low.4040","TIAL1","Glioma","High - Low",0.637299341887266,0.00436452028896546,0.0177316253998491
"High...Low.4041","TIMP1","Glioma","High - Low",0.535828160415633,0.664302815366254,0.737400904069662
