contrast,ratio,SE,df,null,z.ratio,p.value,fold_change,modelest_cpc_1,modelest_cpc_2,term,target,msg,counts_1,propnz_1,ncells_1,counts_2,propnz_2,ncells_2,padj,log2fc,sig_level
Within30micronTumor / Within30um16StumorHigh,1.13823313,0.324504844,Inf,1,0.454154111,0.649717909,1.13823313,0.048568514,0.042670094,tumor16SProximity_v3,ACER2,NA,59,0.031339031,1755,16,0.053003534,283,0.867368296,0.186796077,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.63284774,0.654840561,Inf,1,1.222628906,0.22146989,1.63284774,0.034649387,0.021220219,tumor16SProximity_v3,ACER3,NA,41,0.022792023,1755,8,0.021201413,283,0.580951465,0.707390268,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.406426234,0.781105377,Inf,1,0.614084034,0.539159798,1.406426234,0.014658938,0.010422827,tumor16SProximity_v3,ACHE,NA,18,0.01025641,1755,4,0.014134276,283,0.803236407,0.492033886,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.754416055,0.095117461,Inf,1,-2.235162091,0.025406709,0.754416055,0.197652858,0.261994501,tumor16SProximity_v3,ACIN1,NA,240,0.108831909,1755,101,0.272084806,283,0.391214646,-0.406567716,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.029389127,0.492351035,Inf,1,0.060560079,0.951709567,1.029389127,0.020545613,0.019959034,tumor16SProximity_v3,ACKR1,NA,22,0.010826211,1755,8,0.028268551,283,0.993346861,0.041788449,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.89288056,0.88906258,Inf,1,1.358562024,0.174285416,1.89288056,0.029619699,0.015647949,tumor16SProximity_v3,ACKR3,NA,35,0.019373219,1755,6,0.017667845,283,0.538560941,0.92058338,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,3.34245484,2.473813316,Inf,1,1.630421616,0.103012419,3.34245484,0.017569697,0.005256525,tumor16SProximity_v3,ACKR4,NA,21,0.011965812,1755,2,0.007067138,283,0.468663697,1.740908068,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.894650872,0.139813514,Inf,1,-0.712335128,0.476257276,0.894650872,0.139806847,0.156269727,tumor16SProximity_v3,ACLY,NA,168,0.082621083,1755,60,0.180212014,283,0.770550825,-0.160603299,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.874456915,0.158324338,Inf,1,-0.74094967,0.458723958,0.874456915,0.102642423,0.117378479,tumor16SProximity_v3,ACO2,NA,123,0.064387464,1755,45,0.134275618,283,0.756557938,-0.193540791,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.031622933,0.209374186,Inf,1,0.153398803,0.878083789,1.031622933,0.092592157,0.089753877,tumor16SProximity_v3,ACOT11,NA,114,0.054700855,1755,35,0.109540636,283,0.966971971,0.04491575,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.181492606,0.528515761,Inf,1,0.372832089,0.709273419,1.181492606,0.022011217,0.018630008,tumor16SProximity_v3,ACOT12,NA,25,0.013675214,1755,7,0.024734982,283,0.897861811,0.240610601,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,1.773436684,0.736610693,Inf,1,1.37933932,0.167790159,1.773436684,0.033138602,0.018686092,tumor16SProximity_v3,ACOT13,NA,40,0.022222222,1755,7,0.024734982,283,0.533237881,0.826547823,NS or |log2FC| < 1
Within30micronTumor / Within30um16StumorHigh,0.80132859,0.171752879,Inf,1,-1.033354524,0.30143802,0.80132859,0.073209478,0.091360123,tumor16SProximity_v3,ACOT7,NA,87,0.044444444,1755,35,0.102473498,283,0.649663594,-0.319534145,NS or |log2FC| < 1
