Gene,Astroglial,B cell,Dendritic,Endothelial,Macrophage/Microglia,Mast cell,MSC-like,Neutrophil,NK cell,Pericyte/vSMC,T cell CD4,T cell CD8,T cell regulatory,T9,T4,T8,T2,T6,T5,T3,T1,T7
MMP7,0.02079093,0.014873988,0.020516181,0.00940434,0.04660947,0,0.036194447,0.00810069,0.031308078,0.021216053,0.012719608,0.045494727,0.02811934,0.19230099,0.041910595,1,0.026212163,0.009485748,0.220844626,0.009967035,0.046932273,0.077185357
CALML3,0.050112314,0.007771507,0.048303508,0.018083029,0.033424185,0,0.038652692,0.028626101,0.067275606,0.026975223,0.063307065,0,0.014211188,0.029214009,0.028342006,0.020184696,0.047694596,0.021909321,0.017389736,1,0.018371275,0.021613618
KRT7,0.071434574,0.011063018,0.003466483,0.011924346,0.022757717,0.005438721,0.031037568,0.015468308,0.011101474,0.030993394,0.00195703,0,0.008388246,0.091821327,0.010290529,0.017341405,0.011011641,0.002797362,0.022378655,1,0.049417209,0.161534327
CALML5,0.101634942,0.052481737,0.041141469,0.20713783,0.045195208,0.203067537,0.049255724,0.176595113,0.141955629,0.057311221,0.168184283,0,0.22030883,0.06186211,0.096515689,0.039009044,0.132885074,0.080096404,0.060754089,1,0.049501216,0.034829702
CTTN,0.087874915,0.016439219,0.0367965,0.036684309,0.026135429,0.01264907,0.069445055,0.021947467,0.03314427,0.074032247,0.018455793,0.020850685,0.032093274,0.074515236,0.023019311,0.059807754,0.029275898,0.042820962,0.058005887,1,0.117075274,0.133469366
CPT1A,0.093128782,0.065666499,0.025616844,0.096179535,0.058630104,0.077394128,0.064789802,0.088394945,0.107629857,0.074375813,0,0,0.018616364,0.068516559,0.086369368,0.074862979,0.06548292,0.107311345,0.04976116,1,0.091851819,0.147440266
IL2RA,0.041485578,0.048056689,0.086254275,0.044938947,0.064967703,0,0.037173628,0.040398034,0.065285399,0.027579123,0.049915951,0,1,0.023585868,0.047247455,0.014839437,0.084598141,0.021113889,0.014566551,0.01803358,0.023319691,0.011345041
CTLA4,0.020960318,0.072036758,0.057722409,0.066504516,0.036283984,0,0.046160006,0.059890272,0.112902086,0.032412313,0.3860882,0,1,0.027703718,0.043055142,0.016642446,0.078793079,0.027867872,0.033072976,0.024308233,0.025348217,0.00849749
TIGIT,0.080423477,0.12448609,0.181763997,0.200653925,0.056247498,0.236846834,0.076496526,0.093279013,0.290225255,0.053784496,0.188430934,0.143871161,1,0.046571272,0.116442297,0.063759603,0.096402558,0.052580142,0.058739905,0.043613583,0.075702193,0.02931312
TNFRSF4,0.111240839,0.135106062,0.163895362,0.074513796,0.089772987,0.038080554,0.07455902,0.01303195,0.148793387,0.107806898,0.166575215,0,1,0.083070475,0.129446865,0.096364862,0.138248492,0.084303578,0.1317127,0.066859607,0.101937466,0.069016971
LTB,0.07677556,0.201369001,0.250736034,0.015366021,0.10515476,0,0.078468309,0.200237121,0.148816135,0.083595818,0.886353778,0.045295574,1,0.111265586,0.157690984,0.426530705,0.156619662,0.065047795,0.089386146,0.067612446,0.07343784,0.056908232
CRP,0.025417066,0.011505498,0.060824762,0.074564845,0.0220842,0.012603939,0.032720655,0.034803916,0.047946493,0.022875992,0.176733959,0,0.100724023,0.021744265,0.0781258,0.021826424,0.0797256,0.032508656,1,0.018287805,0.031468229,0.015009888
IGF2,0.175603729,0.148157785,0.258175919,1,0.195425609,0,0.52785646,0.104644109,0.271268076,0.198459628,0.042634851,0,0,0.019146032,0.519410996,0.124499046,0.191634018,0.133219668,0.862662987,0.042819842,0.083144851,0.023115615
ATP1B1,0.105853116,0.056092935,0.060624798,0.073336105,0.067894741,0.012980533,0.083117901,0.050805163,0.052598504,0.042139163,0.094491927,0.06482023,0.079448308,0.865798777,0.019465278,0.025936617,0.084500607,0.065202039,1,0.08743315,0.170886083,0.019113656
