contrast,p.value,fold_change,counts_1,ncells_1,counts_2,ncells_2,target
16Spos_tumor / 16Sneg_tumor,0.47884437,0.934748478,441,164,86057,39686,S100A6
16Spos_tumor / 16Sneg_tumor,0.849764619,0.912746132,5,164,685,39686,S100A7
16Spos_tumor / 16Sneg_tumor,0.358255446,1.484728701,7,164,560,39686,S100B
16Spos_tumor / 16Sneg_tumor,0.615018101,1.08955974,70,164,15256,39686,S100P
16Spos_tumor / 16Sneg_tumor,0.629480784,1.181875151,11,164,1163,39686,S1PR4
16Spos_tumor / 16Sneg_tumor,0.010234727,0.305819577,5,164,1535,39686,SACM1L
16Spos_tumor / 16Sneg_tumor,0.253882652,1.340893392,17,164,1779,39686,SAE1
16Spos_tumor / 16Sneg_tumor,0.040061293,1.942096367,12,164,823,39686,SALL1
16Spos_tumor / 16Sneg_tumor,0.44025329,1.369024402,7,164,676,39686,SALL3
16Spos_tumor / 16Sneg_tumor,0.309718251,0.615739638,5,164,1065,39686,SALL4
16Spos_tumor / 16Sneg_tumor,0.971264495,0.993614965,41,164,5645,39686,SAMD1
16Spos_tumor / 16Sneg_tumor,0.43715259,1.350040216,8,164,796,39686,SAMD4A
16Spos_tumor / 16Sneg_tumor,0.000439847,2.270523851,24,164,1290,39686,SAMD8
16Spos_tumor / 16Sneg_tumor,0.035159545,0.376906465,5,164,1279,39686,SAMD9
16Spos_tumor / 16Sneg_tumor,0.116741644,0.542145703,7,164,1493,39686,SAP130
16Spos_tumor / 16Sneg_tumor,0.848960633,1.03764797,33,164,3672,39686,SAR1A
16Spos_tumor / 16Sneg_tumor,0.424551005,0.730368993,7,164,1219,39686,SAR1B
16Spos_tumor / 16Sneg_tumor,0.992670287,0.997963014,23,164,2925,39686,SART1
16Spos_tumor / 16Sneg_tumor,0.197768313,1.426082552,15,164,1467,39686,SASH1
16Spos_tumor / 16Sneg_tumor,0.180176579,0.667884311,12,164,2324,39686,SAV1
16Spos_tumor / 16Sneg_tumor,0.140447152,1.623171605,11,164,829,39686,SBF2
16Spos_tumor / 16Sneg_tumor,0.521363173,0.880189643,29,164,4492,39686,SBNO2
16Spos_tumor / 16Sneg_tumor,0.276952804,0.520108939,3,164,649,39686,SC5D
16Spos_tumor / 16Sneg_tumor,0.785567693,0.925784692,14,164,1871,39686,SCAMP1
16Spos_tumor / 16Sneg_tumor,0.438627338,1.246147756,15,164,1525,39686,SCAMP5
16Spos_tumor / 16Sneg_tumor,0.233057832,0.706822311,13,164,2402,39686,SCAP
16Spos_tumor / 16Sneg_tumor,0.537101648,0.535491973,1,164,255,39686,SCARA5
16Spos_tumor / 16Sneg_tumor,0.275090189,1.302835127,21,164,2241,39686,SCARB1
16Spos_tumor / 16Sneg_tumor,0.069712362,0.631884725,17,164,2824,39686,SCARB2
16Spos_tumor / 16Sneg_tumor,0.635879305,1.138147688,15,164,1435,39686,SCCPDH
16Spos_tumor / 16Sneg_tumor,0.516185399,1.155864703,30,164,3360,39686,SCD
16Spos_tumor / 16Sneg_tumor,0.524474343,0.821068792,12,164,1939,39686,SCD5
16Spos_tumor / 16Sneg_tumor,0.835566301,0.912545267,6,164,884,39686,SCG2
16Spos_tumor / 16Sneg_tumor,0.124047903,0.21072814,1,164,784,39686,SCG5
16Spos_tumor / 16Sneg_tumor,0.189290241,1.427737353,60,164,3604,39686,SCGB1A1
16Spos_tumor / 16Sneg_tumor,0.72893517,1.114751696,13,164,1301,39686,SCGB2A1
16Spos_tumor / 16Sneg_tumor,0.642852878,0.777739885,4,164,678,39686,SCGB2A2
16Spos_tumor / 16Sneg_tumor,0.364965708,1.342287084,15,164,1240,39686,SCGB3A1
16Spos_tumor / 16Sneg_tumor,0.569943343,1.262509215,7,164,710,39686,SCN2A
16Spos_tumor / 16Sneg_tumor,0.691714686,0.785197672,3,164,466,39686,SCN5A
16Spos_tumor / 16Sneg_tumor,0.814083952,1.079196508,11,164,1262,39686,SCN8A
16Spos_tumor / 16Sneg_tumor,0.90073784,1.017750383,64,164,7696,39686,SCP2
16Spos_tumor / 16Sneg_tumor,0.400245168,0.845960845,30,164,4802,39686,SCRIB
16Spos_tumor / 16Sneg_tumor,0.358117683,0.649785057,5,164,860,39686,SCUBE2
16Spos_tumor / 16Sneg_tumor,0.162098886,0.863187181,140,164,21381,39686,SDC1
16Spos_tumor / 16Sneg_tumor,0.382980086,0.845745154,33,164,4097,39686,SDCBP
16Spos_tumor / 16Sneg_tumor,0.230915992,1.315709778,23,164,1956,39686,SDCCAG8
