SampleID,Sample_ID,FileVersion,SoftwareVersion,Date,Plate_ID,Well,SeqSetId,Raw,Trimmed,Stitched,Aligned,umiQ30,rtsQ30,DeduplicatedReads,roi
DSP-1001660022407-Y-G05,DSP-1001660022407-Y-G05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G05,A00728:1032:HNTG7DMXY,14607619,14569410,14462532,13682201,0.994,0.9932,1160359,76
DSP-1001660022407-Y-G06,DSP-1001660022407-Y-G06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G06,A00728:1032:HNTG7DMXY,22719694,22692804,22553528,21217095,0.9944,0.9945,1231965,77
DSP-1001660022407-Y-G07,DSP-1001660022407-Y-G07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G07,A00728:1032:HNTG7DMXY,2119246,2112628,2074890,1969792,0.9945,0.9942,227080,78
DSP-1001660022407-Y-G08,DSP-1001660022407-Y-G08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G08,A00728:1032:HNTG7DMXY,31624036,31587657,31370814,29630885,0.9942,0.994,2514510,79
DSP-1001660022407-Y-G09,DSP-1001660022407-Y-G09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G09,A00728:1032:HNTG7DMXY,29214720,29184519,29010315,27412952,0.9944,0.994,2057047,80
DSP-1001660022407-Y-G10,DSP-1001660022407-Y-G10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G10,A00728:1032:HNTG7DMXY,26132617,26090218,25935035,24179072,0.994,0.9935,2368908,81
DSP-1001660022407-Y-G11,DSP-1001660022407-Y-G11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G11,A00728:1032:HNTG7DMXY,10808754,10791921,10727560,10079932,0.9939,0.9934,1018500,82
DSP-1001660022407-Y-G12,DSP-1001660022407-Y-G12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,G12,A00728:1032:HNTG7DMXY,9578818,9565234,9503200,8935904,0.9946,0.9939,1050634,83
DSP-1001660022407-Y-H01,DSP-1001660022407-Y-H01,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H01,A00728:1032:HNTG7DMXY,78687796,78632751,78164779,74268420,0.9945,0.9943,3908453,84
DSP-1001660022407-Y-H02,DSP-1001660022407-Y-H02,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H02,A00728:1032:HNTG7DMXY,5860336,5853277,5818205,5503817,0.9944,0.9942,540901,85
DSP-1001660022407-Y-H03,DSP-1001660022407-Y-H03,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H03,A00728:1032:HNTG7DMXY,7847599,7836003,7783928,7383621,0.9945,0.9937,731557,86
DSP-1001660022407-Y-H04,DSP-1001660022407-Y-H04,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H04,A00728:1032:HNTG7DMXY,9431025,9419711,9361367,8891400,0.9945,0.9942,673983,87
DSP-1001660022407-Y-H05,DSP-1001660022407-Y-H05,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H05,A00728:1032:HNTG7DMXY,4054872,4047830,4020946,3779574,0.9942,0.9939,562162,88
DSP-1001660022407-Y-H06,DSP-1001660022407-Y-H06,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H06,A00728:1032:HNTG7DMXY,2791285,2783656,2758077,2594984,0.9947,0.9937,440861,89
DSP-1001660022407-Y-H07,DSP-1001660022407-Y-H07,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H07,A00728:1032:HNTG7DMXY,7024540,7011915,6973401,6570430,0.9945,0.9932,594356,90
DSP-1001660022407-Y-H08,DSP-1001660022407-Y-H08,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H08,A00728:1032:HNTG7DMXY,15785115,15763331,15660618,14892237,0.9942,0.9936,1117777,91
DSP-1001660022407-Y-H09,DSP-1001660022407-Y-H09,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H09,A00728:1032:HNTG7DMXY,24834085,24810742,24646412,23412548,0.9942,0.9938,1820537,92
DSP-1001660022407-Y-H10,DSP-1001660022407-Y-H10,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H10,A00728:1032:HNTG7DMXY,31734617,31686010,31466492,29598467,0.9945,0.9937,2801249,93
DSP-1001660022407-Y-H11,DSP-1001660022407-Y-H11,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H11,A00728:1032:HNTG7DMXY,21378943,21358642,21210482,20068468,0.9947,0.9942,1345128,94
DSP-1001660022407-Y-H12,DSP-1001660022407-Y-H12,0.02,GeoMx_NGS_Pipeline_3.1.1.6,1/29/24,1.00E+12,H12,A00728:1032:HNTG7DMXY,41246238,41211794,40937670,38866279,0.9945,0.9942,3259711,95
