"","Gene","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.9161","TMUB2","BrM","High - Low",1.30633139884824,0.00421796304760169,0.0438079458321808
"High...Low.9162","METTL22","BrM","High - Low",0.709755825655845,0.223724773193485,0.45338410476045
"High...Low.9163","CHAC1","BrM","High - Low",-0.638439907759348,0.132878834477184,0.335408100101201
"High...Low.9164","BBLN","BrM","High - Low",-0.564346983165018,0.139022978974557,0.344725101191297
"High...Low.9165","TAF1D","BrM","High - Low",0.102825998953821,0.728230321937137,0.856057659348
"High...Low.9166","DHX58","BrM","High - Low",1.03773367752797,0.111205557815644,0.300638150436519
"High...Low.9167","TMEM185B","BrM","High - Low",1.3441290144942,0.00944045550575532,0.0715763253650838
"High...Low.9168","APOO","BrM","High - Low",0.153961118891114,0.694678748364538,0.834354025551158
"High...Low.9169","PHF1","BrM","High - Low",0.849115992267044,0.114475815515892,0.30542280975791
"High...Low.9170","RETREG2","BrM","High - Low",0.996983484709491,0.0702683962191751,0.230169717421274
"High...Low.9171","PHF23","BrM","High - Low",0.728053564325565,0.0989947077595767,0.28005921566871
"High...Low.9172","PPDPF","BrM","High - Low",1.37447102749975,0.000168541728308825,0.00483772338740131
"High...Low.9173","FA2H","BrM","High - Low",-1.2200385810798,0.0670927029473993,0.224551893357444
"High...Low.9174","GDPD3","BrM","High - Low",-0.140923353464209,0.812697103040031,0.900993143001033
"High...Low.9175","TNIP2","BrM","High - Low",0.278739741794545,0.28023853108137,0.516812160536299
"High...Low.9176","PLEKHF1","BrM","High - Low",-0.238492986852627,0.744434388163171,0.864442115476684
"High...Low.9177","MFSD11","BrM","High - Low",1.34212528324215,0.0115918042907582,0.0809256275227278
"High...Low.9178","GNPTAB","BrM","High - Low",0.929620253062293,0.080918465304344,0.249405007624537
"High...Low.9179","LENG1","BrM","High - Low",-0.699620959246026,0.000347718424149092,0.0078970466783211
"High...Low.9180","C1orf35","BrM","High - Low",1.21659433469304,0.00353301027225533,0.0388881303767522
"High...Low.9181","PRR15L","BrM","High - Low",-2.38651628936164,0.000117482645548269,0.00376105769157959
"High...Low.9182","RBM42","BrM","High - Low",0.210830170369731,0.310322164934152,0.54601907702898
"High...Low.9183","CRELD2","BrM","High - Low",0.705356825847885,0.116250898392543,0.30813564524899
"High...Low.9184","ZNF343","BrM","High - Low",0.874528305315072,0.0247534961855915,0.125518366210519
"High...Low.9185","EFHD2","BrM","High - Low",1.36270832371716,0.0341383803647037,0.151233673623244
"High...Low.9186","SLC27A3","BrM","High - Low",0.462754463278572,0.281129924412818,0.517424592141177
"High...Low.9187","BRCC3","BrM","High - Low",2.02162100676599,0.00180627794099072,0.0253713136490564
"High...Low.9188","TMEM43","BrM","High - Low",1.14759099861941,0.0112322253910296,0.0795287494613061
"High...Low.9189","IRX3","BrM","High - Low",0.263292294852742,0.549789561327345,0.740312938643452
