Algorithm Name,ROI,Total Cells,DAPI Positive Cells,CD56,CD8,CD4,Foxp3,GZMB,CD16,CD8+ GZMB - Cells,CD8+ GZMB+ Cells,CD8- CD4+ Cells,CD4+ FOXP3- Cells,CD4+ FOXP3+ Cells,CD8- CD16+ GZMB- Cells,CD8- CD16+ GZMB+ Cells,CD16+ CD56+ Cells,CD16+ CD56- Cells,CD16+ CD56+ GZMB+ Cells,CD16+ CD56- GZMB- Cells,DAPI Avg Cell Intensity,CD56 Avg Cell Intensity,CD8 Avg Cell Intensity,CD4 Avg Cell Intensity,Foxp3 Avg Cell Intensity,GZMB Avg Cell Intensity,CD16 Avg Cell Intensity
Lymphoid-BM-041924 - HighPlex FL v4.2.3,59,388,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.485062,0.309791,0.044825,0.084422,0,0.009166,0.319024
Lymphoid-BM-041924 - HighPlex FL v4.2.3,60,442,442,3,20,14,3,5,0,19,1,0,11,3,0,0,0,0,0,0,65.665077,5.203656,7.274547,7.146873,1.042884,1.052848,0.598963
Lymphoid-BM-041924 - HighPlex FL v4.2.3,61,433,433,1,8,0,0,4,1,6,2,0,0,0,1,0,0,1,0,1,70.187126,2.70959,0.998461,0.489514,0,1.477134,1.426766
Lymphoid-BM-041924 - HighPlex FL v4.2.3,62,425,425,0,4,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,87.990593,0.906425,0.962494,0.779168,0,1.522234,0.193613
Lymphoid-BM-041924 - HighPlex FL v4.2.3,63,378,378,0,29,9,0,0,0,29,0,0,9,0,0,0,0,0,0,0,71.314369,3.400683,5.917891,7.24445,0.172284,0.000117,0.008701
Lymphoid-BM-041924 - HighPlex FL v4.2.3,65,528,528,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91.873322,0.234127,0.204766,0.275662,0,0.091817,0.021808
Lymphoid-BM-041924 - HighPlex FL v4.2.3,66,471,471,0,14,5,0,2,0,14,0,0,5,0,0,0,0,0,0,0,89.846008,2.235383,4.577278,4.83183,0.147278,0.332033,0.367893
Lymphoid-BM-041924 - HighPlex FL v4.2.3,67,611,611,0,18,2,0,33,5,16,2,0,2,0,5,0,0,5,0,5,144.521851,7.295807,1.070064,0.951719,0,5.685393,2.089593
Lymphoid-BM-041924 - HighPlex FL v4.2.3,68,673,673,0,92,87,5,314,5,4,88,74,84,3,2,1,0,5,0,2,81.405457,0.266709,8.196584,25.059027,0.954513,59.632019,3.615769
Lymphoid-BM-041924 - HighPlex FL v4.2.3,69,474,474,0,42,2,1,153,9,2,40,1,2,0,7,0,0,9,0,7,55.534355,0.120755,5.282951,2.328101,0.31186,46.994827,3.591931
Lymphoid-BM-041924 - HighPlex FL v4.2.3,70,563,563,0,104,22,10,288,16,2,102,5,18,4,0,4,0,16,0,0,51.272106,0.226429,10.211987,9.350736,2.586867,76.521217,5.037723
Lymphoid-BM-041924 - HighPlex FL v4.2.3,71,192,192,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30.900265,9.470326,2.16203,2.272134,0,0.000592,0
Lymphoid-BM-041924 - HighPlex FL v4.2.3,72,208,208,0,21,4,1,0,0,21,0,0,4,0,0,0,0,0,0,0,39.552937,7.763804,17.900724,19.961069,0.653739,0,0.112114
Lymphoid-BM-041924 - HighPlex FL v4.2.3,74,461,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.530113,0.118077,0.024527,0.031836,0,0.020588,0.000317
Lymphoid-BM-041924 - HighPlex FL v4.2.3,75,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.553246,0.090105,0.10967,0.10898,0,0.005756,0.000302
Lymphoid-BM-041924 - HighPlex FL v4.2.3,76,335,335,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,74.071915,0.293258,0.646586,0.717938,0.001093,0.012542,0.318777
Lymphoid-BM-041924 - HighPlex FL v4.2.3,77,566,566,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,150.126465,0.500721,1.067206,1.42416,0.000801,0.020069,0.005462
Lymphoid-BM-041924 - HighPlex FL v4.2.3,78,524,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.272209,2.157172,1.198318,0.318792,0,0.008296,0.03902
Lymphoid-BM-041924 - HighPlex FL v4.2.3,79,543,543,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,106.689217,12.603809,1.160717,0.91427,0.005399,0.134731,0.381328
Lymphoid-BM-041924 - HighPlex FL v4.2.3,80,485,485,1,4,1,0,1,28,4,0,0,1,0,26,0,1,27,0,27,105.598885,14.003597,0.771575,0.581477,0.007559,0.120576,7.265999
Lymphoid-BM-041924 - HighPlex FL v4.2.3,81,344,344,0,16,1,0,0,1,16,0,0,1,0,1,0,0,1,0,1,69.676476,2.018141,4.27737,4.979051,0.003171,0.077649,1.722871
Lymphoid-BM-041924 - HighPlex FL v4.2.3,82,340,340,0,11,13,4,13,3,1,10,8,9,4,3,0,0,3,0,3,64.301338,0.023559,4.091758,8.274196,1.797615,4.23542,3.764027
Lymphoid-BM-041924 - HighPlex FL v4.2.3,83,308,308,0,7,19,3,15,7,0,7,14,18,1,6,0,0,7,0,6,63.477428,0.001424,2.687394,16.061689,2.153271,5.35668,3.63358
Lymphoid-BM-041924 - HighPlex FL v4.2.3,84,521,521,0,17,7,2,0,34,17,0,0,6,1,34,0,0,34,0,34,108.269646,1.422858,2.635648,2.400675,0.150948,0.011576,6.532292
Lymphoid-BM-041924 - HighPlex FL v4.2.3,85,466,466,2,44,4,0,0,0,44,0,1,4,0,0,0,0,0,0,0,112.370667,4.552153,7.336426,6.670794,0.04549,0.072281,1.39922
Lymphoid-BM-041924 - HighPlex FL v4.2.3,87,459,459,0,4,0,0,0,1,4,0,0,0,0,1,0,0,1,0,1,95.988327,0.531931,1.05801,1.125288,0.012565,0.037265,1.576348
Lymphoid-BM-041924 - HighPlex FL v4.2.3,88,324,324,0,19,119,0,8,0,15,4,104,119,0,0,0,0,0,0,0,62.090847,6.389769,4.833973,42.961624,0.198713,2.463067,2.538439
Lymphoid-BM-041924 - HighPlex FL v4.2.3,89,324,324,0,17,67,0,1,0,17,0,59,67,0,0,0,0,0,0,0,57.038273,6.071333,4.649337,24.106001,0.025332,0.693032,0.310061
Lymphoid-BM-041924 - HighPlex FL v4.2.3,90,291,291,145,124,21,0,13,1,117,7,5,21,0,0,0,0,1,0,1,59.171494,105.859116,20.96142,14.534098,0.026799,3.46945,1.226924
Lymphoid-BM-041924 - HighPlex FL v4.2.3,92,515,515,0,67,8,2,218,19,8,59,2,8,0,2,10,0,19,0,2,64.537163,1.034141,7.394067,4.550099,0.359807,58.151546,6.416186
Lymphoid-BM-041924 - HighPlex FL v4.2.3,93,506,506,0,43,7,5,163,2,3,40,5,4,3,1,0,0,2,0,1,55.007858,0.113212,4.893574,4.406885,1.038194,44.137165,2.038556
Lymphoid-BM-041924 - HighPlex FL v4.2.3,94,615,615,0,7,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,100.326279,0.340896,0.825755,0.929276,0.015947,0.012559,0.000393
Lymphoid-BM-041924 - HighPlex FL v4.2.3,95,299,299,0,55,16,0,4,0,54,1,4,16,0,0,0,0,0,0,0,64.92173,8.092403,16.994587,19.256983,0.175651,0.760693,1.310284
