"","Protein","Subset","Contrast","log2FC","Pr(>|t|)","FDR"
"High...Low.249","NAK/TBK1","Glioma","High - Low",0.08541629147887,0.693235979285445,0.925267058789595
"High...Low.250","PKC beta 1","Glioma","High - Low",0.0794515141820161,0.778332758608651,0.925267058789595
"High...Low.251","Histone H3 (phospho S10)","Glioma","High - Low",0.975475678811428,0.0137705649344351,0.188495277403091
"High...Low.252","Tuberin","Glioma","High - Low",-0.109657290880437,0.771048036157214,0.925267058789595
"High...Low.253","NFkB p105 / p50","Glioma","High - Low",0.481357900650988,0.0826293671056223,0.423316603787265
"High...Low.254","PDGFR alpha + PDGFR beta","Glioma","High - Low",0.336329410124919,0.240576424580715,0.702506852773279
"High...Low.255","Lamin A + Lamin B1 + Lamin C","Glioma","High - Low",0.588783430888119,0.0149800435405117,0.188495277403091
"High...Low.256","PAK1","Glioma","High - Low",-0.238652855938771,0.429438573954104,0.844614151624633
"High...Low.257","IKK gamma/NEMO","Glioma","High - Low",0.10133758156522,0.6360296583075,0.925267058789595
"High...Low.258","IDH1","Glioma","High - Low",0.753200597961924,0.0201790182853723,0.215796012258121
"High...Low.259","NF-kB p65","Glioma","High - Low",0.134386622765514,0.636731307401257,0.925267058789595
"High...Low.260","CD63","Glioma","High - Low",0.562423002791997,0.0464143752545492,0.335999716516628
"High...Low.261","TOMM20","Glioma","High - Low",0.32279368990971,0.116651682376955,0.468012171464171
"High...Low.262","MEK4/MKK4 (phospho S80)","Glioma","High - Low",0.3840981206695,0.17347693914594,0.583513340763616
"High...Low.263","Retinoic Acid Receptor beta","Glioma","High - Low",-0.0756990109764078,0.810473662294681,0.927449242419687
"High...Low.264","Pan Trk","Glioma","High - Low",-0.14329711614493,0.699384997151559,0.925267058789595
"High...Low.265","Fatty Acid Synthase","Glioma","High - Low",0.792592400367413,0.00519077292975027,0.0962257100833081
"High...Low.266","STAT3","Glioma","High - Low",0.127066613510529,0.61845445202813,0.925267058789595
"High...Low.267","Met (c-Met)","Glioma","High - Low",-0.13007790967122,0.644585108751006,0.925267058789595
"High...Low.268","Histone H3 (acetyl K14)","Glioma","High - Low",0.860455952719476,0.0012066069620068,0.0386919206863429
"High...Low.269","Topoisomerase II alpha","Glioma","High - Low",-0.0740256520576303,0.718422829032046,0.925267058789595
"High...Low.270","IFIT1","Glioma","High - Low",0.952978634928534,0.0570935000501537,0.365617990705792
"High...Low.271","S100A8 + S100A9","Glioma","High - Low",-0.0424319589140973,0.857040347853886,0.95192212335207
"High...Low.272","RPS6","Glioma","High - Low",0.154006825602307,0.56267004920889,0.91173381530081
"High...Low.273","MEK1","Glioma","High - Low",-0.733638493387497,0.132945776018943,0.511624688504063
"High...Low.274","S100A9","Glioma","High - Low",0.180537301455593,0.517926984171574,0.892204591170601
"High...Low.275","SOD2/MnSOD","Glioma","High - Low",0.0634075494780552,0.893927289477857,0.960250927084279
"High...Low.276","Vimentin","Glioma","High - Low",-0.405059001688036,0.2778179199014,0.721888559002302
"High...Low.277","Hsp27","Glioma","High - Low",-0.241444219267087,0.438793538231416,0.844614151624633
"High...Low.278","HuR / ELAVL1","Glioma","High - Low",0.911111245190766,0.00624841319622385,0.109154999018346
"High...Low.279","ERK1 (phospho T202 + Y204) + ERK2 (phospho T185 + Y187)","Glioma","High - Low",0.789791919142877,0.244717101866968,0.702506852773279
"High...Low.280","DR5","Glioma","High - Low",0.246151345374524,0.417311359486859,0.844614151624633
"High...Low.281","ARID3A","Glioma","High - Low",-0.341181995293238,0.387438764650609,0.813297556462736
"High...Low.282","IL-12A","Glioma","High - Low",0.389351945735044,0.176739817737178,0.588543593064804
"High...Low.283","Insulin Receptor alpha","Glioma","High - Low",-0.208174076634523,0.296591952283575,0.748220606897201
"High...Low.284","ENO1 + ENO2 + ENO3","Glioma","High - Low",0.168902632042585,0.626332421854537,0.925267058789595
"High...Low.285","Src","Glioma","High - Low",-0.350348285794009,0.577804746842441,0.91173381530081
"High...Low.286","Bax","Glioma","High - Low",0.102430636850682,0.690288520185976,0.925267058789595
"High...Low.287","HDAC2","Glioma","High - Low",0.437291558349556,0.0959298261823016,0.437597700256252
"High...Low.288","Aldolase B+Aldolase C","Glioma","High - Low",0.196646903356756,0.783607691500948,0.925267058789595
"High...Low.289","Monoamine Oxidase A/MAO-A","Glioma","High - Low",-0.272464980159182,0.559916022721595,0.91173381530081
"High...Low.290","Glucose Transporter GLUT1","Glioma","High - Low",-0.203027881851077,0.538480185187015,0.905625765996343
"High...Low.291","Smac/Diablo","Glioma","High - Low",-0.0199103640630526,0.949701217059564,0.982665539201889
"High...Low.292","PP2A alpha + beta","Glioma","High - Low",0.222304789777717,0.527698967813718,0.896549776948816
"High...Low.293","PLCG 2","Glioma","High - Low",0.229915479752253,0.324894811751337,0.772785516522824
"High...Low.294","ERK1","Glioma","High - Low",-0.286951472302982,0.478205961442614,0.856142930969841
"High...Low.295","FAK","Glioma","High - Low",-0.487653057754977,0.259785814046198,0.715714805196075
"High...Low.296","Cdk4","Glioma","High - Low",0.829000863413852,0.0392703614869818,0.318951960369876
"High...Low.297","IFNGR1","Glioma","High - Low",-0.0545628334940956,0.864447278567436,0.955577289345924
"High...Low.298","SDHA","Glioma","High - Low",-0.109028501945232,0.726071401978446,0.925267058789595
"High...Low.299","SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467)","Glioma","High - Low",0.839816559767538,0.0152834008705209,0.188495277403091
"High...Low.300","CD276","Glioma","High - Low",0.32774060584593,0.365024564078366,0.808610130914368
"High...Low.301","Bid","Glioma","High - Low",0.43653782383544,0.0669197900855741,0.380050029953491
"High...Low.302","Ubiquitin","Glioma","High - Low",0.333782186318133,0.275591739108327,0.721888559002302
"High...Low.303","MRP8","Glioma","High - Low",-0.0797261169540145,0.788984416805788,0.925267058789595
"High...Low.304","Hsp90","Glioma","High - Low",0.471931519807284,0.0938757684706412,0.434175429176716
"High...Low.305","CREB","Glioma","High - Low",-0.0540816493912066,0.844109281844437,0.949622942074991
"High...Low.306","MEK2","Glioma","High - Low",0.154835162155769,0.636422086326327,0.925267058789595
"High...Low.307","CD90 / Thy1","Glioma","High - Low",-1.1349842135356,0.135718402430018,0.511624688504063
"High...Low.308","ERK2","Glioma","High - Low",0.331815615925487,0.388331265698423,0.813297556462736
"High...Low.309","Hexokinase 1","Glioma","High - Low",-1.09090801557262,0.111030794919447,0.462165683852199
"High...Low.310","Actin","Glioma","High - Low",-0.0788421656944952,0.791062371951061,0.925267058789595
"High...Low.311","Histone H3 (acetyl K18)","Glioma","High - Low",0.927824188116376,0.000984025049630227,0.0364089268363184
"High...Low.312","Sumo 1","Glioma","High - Low",0.284843351865125,0.383097253295332,0.813297556462736
