Species,Abundance,filter_step
Corynebacterium.tuberculostearicum,20,After control and genome completion filter
Cupriavidus.gilardii,8,After control and genome completion filter
Dermacoccus.nishinomiyaensis,2,After control and genome completion filter
Dietzia.kunjamensis,6,After control and genome completion filter
Dolosigranulum.pigrum,12,After control and genome completion filter
Enterocloster.bolteae,6,After control and genome completion filter
Enterococcus.cecorum,2,After control and genome completion filter
Faecalibaculum.rodentium,2,After control and genome completion filter
Fusobacterium.nucleatum,28,After control and genome completion filter
Gardnerella.vaginalis,8,After control and genome completion filter
Granulicatella.adiacens,1,After control and genome completion filter
Heyndrickxia.coagulans,12,After control and genome completion filter
Janibacter.sp..CX7,21,After control and genome completion filter
Jeotgalibaca.porci,10,After control and genome completion filter
Jeotgalicoccus.sp..ATCC.8456,6,After control and genome completion filter
Klebsiella.aerogenes,94,After control and genome completion filter
Kocuria.rosea,8,After control and genome completion filter
Lachnoanaerobaculum.umeaense,2,After control and genome completion filter
Lachnospira.eligens,2,After control and genome completion filter
Lactobacillus.gasseri,2,After control and genome completion filter
Lactobacillus.johnsonii,13,After control and genome completion filter
Lactococcus.raffinolactis,3,After control and genome completion filter
Leclercia.adecarboxylata,51,After control and genome completion filter
Ligilactobacillus.murinus,45,After control and genome completion filter
Limnohabitans.sp..103DPR2,12,After control and genome completion filter
Megasphaera.stantonii,3,After control and genome completion filter
Meiothermus.ruber,10,After control and genome completion filter
Micrococcus.sp..KBS0714,20,After control and genome completion filter
Moraxella.osloensis,5,After control and genome completion filter
Mycolicibacterium.fortuitum,4,After control and genome completion filter
Mycolicibacterium.litorale,6,After control and genome completion filter
Mycolicibacterium.thermoresistibile,2,After control and genome completion filter
Neisseria.sicca,9,After control and genome completion filter
Neisseria.sp..Marseille-Q5346,3,After control and genome completion filter
Neisseria.sp..RH3002v2g,1,After control and genome completion filter
Neisseria.subflava,15,After control and genome completion filter
Paracoccus.yeei,2,After control and genome completion filter
Peptoniphilus.harei,3,After control and genome completion filter
Peribacillus.psychrosaccharolyticus,8,After control and genome completion filter
Phascolarctobacterium.faecium,2,After control and genome completion filter
Phocaeicola.coprophilus,6,After control and genome completion filter
Prevotella.corporis,36,After control and genome completion filter
Prevotella.denticola,2,After control and genome completion filter
Prevotella.histicola,3,After control and genome completion filter
Prevotella.intermedia,26,After control and genome completion filter
Prevotella.jejuni,3,After control and genome completion filter
Prevotella.melaninogenica,30,After control and genome completion filter
Proteus.mirabilis,21,After control and genome completion filter
Pseudochrobactrum.algeriensis,4,After control and genome completion filter
Pseudomonas.fluorescens,21,After control and genome completion filter
Pseudomonas.fragi,6,After control and genome completion filter
Pseudomonas.sp..DY-1,6,After control and genome completion filter
Pseudoxanthomonas.mexicana,6,After control and genome completion filter
Ralstonia.pickettii,9,After control and genome completion filter
Rothia.mucilaginosa,7,After control and genome completion filter
Serratia.liquefaciens,30,After control and genome completion filter
Sphingobacterium.sp..UDSM-2020,2,After control and genome completion filter
Sphingomonas.koreensis,2,After control and genome completion filter
Sphingomonas.sp..AAP5,28,After control and genome completion filter
Staphylococcus.arlettae,8,After control and genome completion filter
Staphylococcus.epidermidis,57,After control and genome completion filter
Staphylococcus.equorum,6,After control and genome completion filter
Staphylococcus.nepalensis,8,After control and genome completion filter
Staphylococcus.saprophyticus,52,After control and genome completion filter
Stenotrophomonas.acidaminiphila,6,After control and genome completion filter
Streptococcus.gordonii,6,After control and genome completion filter
Streptococcus.koreensis,6,After control and genome completion filter
Streptococcus.mitis,25,After control and genome completion filter
Streptococcus.sanguinis,5,After control and genome completion filter
Streptococcus.sp..oral.taxon.064,3,After control and genome completion filter
Streptococcus.thermophilus,615,After control and genome completion filter
Streptomyces.albus,2,After control and genome completion filter
Thermus.sp..NEB1569,6,After control and genome completion filter
Veillonella.nakazawae,8,After control and genome completion filter
Veillonella.rogosae,157,After control and genome completion filter
Veillonella.sp..S12025-13,8,After control and genome completion filter
Acinetobacter.nosocomialis,2,"After control, genome completion, and coverage filter"
Actinomyces.pacaensis,2,"After control, genome completion, and coverage filter"
Aeromonas.hydrophila,15,"After control, genome completion, and coverage filter"
Bacteroides.caccae,2,"After control, genome completion, and coverage filter"
Bacteroides.eggerthii,21,"After control, genome completion, and coverage filter"
Bifidobacterium.catenulatum,16,"After control, genome completion, and coverage filter"
Bifidobacterium.pseudolongum,2,"After control, genome completion, and coverage filter"
Campylobacter.concisus,3,"After control, genome completion, and coverage filter"
Candidatus.Methylopumilus.rimovensis,2,"After control, genome completion, and coverage filter"
Capnocytophaga.sp..FDAARGOS 737,6,"After control, genome completion, and coverage filter"
Clostridium.perfringens,2,"After control, genome completion, and coverage filter"
Corynebacterium.glaucum,2,"After control, genome completion, and coverage filter"
Corynebacterium.tuberculostearicum,20,"After control, genome completion, and coverage filter"
Cupriavidus.gilardii,8,"After control, genome completion, and coverage filter"
Dermacoccus.nishinomiyaensis,2,"After control, genome completion, and coverage filter"
Dietzia.kunjamensis,6,"After control, genome completion, and coverage filter"
Enterocloster.bolteae,6,"After control, genome completion, and coverage filter"
Enterococcus.cecorum,2,"After control, genome completion, and coverage filter"
