Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T11,T16,T9,T17,T18,T10,T1,T13,T3,T14,T15,T2,T4,T12,T5,T6,T7,T8
PIK3R5,0.474062107,0.138704429,0.137821585,0.684082106,0.117295189,0.492208128,0.227309374,0.608307925,0.167844657,0.292400832,0.233647381,0.541530439,0.494458878,1,0.562084232,0.452673145,0.262811805,0.931793716,0.584575542,0.393332562,0.56658357,0.270871829,0.773841309
PIKFYVE,0.391152167,0.452486585,0.484551003,0.558561728,0.27941034,0.207986863,0.457732981,1,0.49396635,0.249830977,0.492331701,0.897991381,0.531654225,0.604171474,0.444544377,0.652915017,0.545382416,0.790775192,0.309072497,0.731386025,0.721589979,0.53475336,0.569141039
PILRA,0.240945903,0.318612292,0.344239165,1,0.241514998,0.406385102,0.379207619,0.487400375,0.327917294,0.431637552,0.613436588,0.483326075,0.511958546,0.272854096,0.281128725,0.394735797,0.4762641,0.42057592,0.190495624,0.287478533,0.305702636,0.266772287,0.390947873
PIM1,0.286545585,0.173297162,0.230015975,0.492403819,0.397541852,1,0.256303519,0.56743621,0.788780289,0.39499561,0.300213864,0.502560584,0.448137328,0.609506627,0.38775996,0.760836842,0.530345904,0.511250708,0.408765816,0.302572745,0.325124786,0.269470036,0.704110631
PIM2,0.866638745,0.089144844,0.389503503,0.610500603,0.625488856,0.957204916,0.541060451,0.549328346,0.52447705,0.341851564,0.152829476,0.864240242,0.595224533,0.602384289,0.524234287,0.546887287,0.387842159,1,0.547090675,0.320759963,0.553957659,0.408265659,0.429718097
PIN1,0.736965277,0.748597408,0.658687149,0.542856825,0.643556275,0.678484465,0.441884518,0.541338187,1,0.841893692,0.87505441,0.480655117,0.871320756,0.4505702,0.750139976,0.864677374,0.876484683,0.675345749,0.806759349,0.654663568,0.823453124,0.798264736,0.390319163
PINK1,0.185041741,1,0.930048573,0.327491473,0.501799732,0.399004421,0.431756278,0.36014855,0.481893438,0.425716585,0.200890193,0.305960856,0.287380819,0.269025656,0.227433832,0.339686465,0.406985529,0.605004548,0.994143058,0.610835319,0.414548914,0.356510035,0.324154181
PIP,0.335045262,0.173688497,0.310738758,0.341000335,0.36580302,0.19375414,0.373991617,0.232287514,0.264709339,0.370040898,0.144518708,0.804795088,0.226105262,0.602295532,0.349954192,0.379354945,0.635170423,0.581510198,0.093528826,0.793342828,0.397727241,0.802863005,1
PIP4K2A,0.218337573,0.071643146,0.172860741,0.454621048,0.376038381,0.594304992,0.651691176,0.508914109,0.457511423,0.48123891,0.360205151,0.859901954,0.464000364,0.464915166,0.504364274,0.973813893,0.18162872,0.478300686,1,0.540433444,0.293516366,0.455555853,0.56229619
PIP5K1A,0.646477637,0.436348343,0.572365551,0.329093648,0.361566523,0.464209032,0.579743797,0.617521427,1,0.648998828,0.643736714,0.455487003,0.747148184,0.35533613,0.45659142,0.271863322,0.641398414,0.783914451,0.512056415,0.451106049,0.451827594,0.464993301,0.414414645
