Gene,B cell-like,Endothelial,Ly-like,Myeloid,Pericyte/vSMC,T-P2,T-P3,T-P4,T-P6,T-P7,T-P8,T-P10,T-P12,T-P13,T-P16,T-P17,T-P18,T-P21,T-P22,T-P25,T-P26,T-P27,T-P32
IFI27,0.035079595,0.48910819,1,0.113604425,0.298710703,0.038341602,0.030550233,0.053575974,0.042907409,0.06827378,0.042803879,0.017604955,0.045831709,0.042006544,0.052590532,0.039029162,0.337221381,0.031799718,0.045194549,0.037242568,0.041665141,0.038784872,0.033051717
IFITM1,0.086189788,0.329198717,1,0.103489749,0.6220196,0.043310516,0.061340591,0.049111165,0.032180529,0.0795437,0.020238864,0.04258687,0.043738928,0.039565728,0.03300313,0.07838604,0.246790418,0.07694809,0.098931594,0.046750218,0.070361052,0.02431874,0.04943699
IGFBP7,0.087659801,0.627248882,1,0.030744259,0.650211238,0.065839468,0.257478165,0.052568036,0.045675444,0.069988512,0.069827481,0.030957069,0.029638613,0.036302318,0.067407354,0.015172812,0.067253809,0.043367372,0.111105721,0.05936055,0.045555031,0.060801689,0.031773549
CLDN5,0.023671904,1,0.694087001,0.013927128,0.165588231,0.027032599,0.017260275,0.046824705,0.024052627,0.071374579,0.013758886,0.034996697,0.045223155,0.06254765,0.090104893,0.029316958,0.047642028,0.029143866,0.090492399,0.072029259,0.081082619,0.042869686,0.039447334
RGS5,0.019395216,0.512874272,1,0.044341558,0.899351813,0.020426251,0.029283132,0.032604794,0.040311575,0.077965629,0.027628892,0.110640206,0.055997994,0.054566547,0.098062724,0.020411914,0.066261904,0.09662399,0.179747878,0.078431325,0.116886637,0.054492254,0.062690937
VCAN,0.204513588,0.013069231,0.030127421,0.027177319,0.053685786,0.040420945,0.099286805,0.093587465,0.085839745,0.033337683,1,0.045658751,0.025766495,0.131141933,0.117464907,0.112092265,0.093898262,0.02852866,0.023412153,0.065186097,0.112262092,0.075542783,0.099220976
CHI3L1,0.160118335,0.04513374,0.133579959,0.080352075,0.043045966,0.183506028,0.306348447,0.035825106,0.076481798,0.086802312,1,0.065174535,0.073379994,0.047360088,0.036705944,0.006005913,0.357202901,0.07948612,0.102485463,0.039011348,0.044913793,0.068346637,0.061010647
VEGFA,0.359404743,0.048286452,0.125193115,0.175218708,0.089580366,0.203046258,0.13350094,0.11210809,0.14182359,0.064353117,1,0.06240266,0.089142938,0.091964585,0.089221913,0.046797252,0.20600608,0.103720218,0.086913648,0.075162176,0.12601469,0.08443474,0.102650834
SIRT2,0.13260428,0.145573856,0.091567263,0.088148835,0.099709797,0.183639526,0.199947045,0.143757445,0.123264653,0.21566497,1,0.157942334,0.120682888,0.07321885,0.091179501,0.258075581,0.137274736,0.112041305,0.131729238,0.132036985,0.090135074,0.119376288,0.076728223
MMP16,0.048922778,0.071750707,0.099286779,0.054656767,0.062522868,0.167206252,0.21069895,0.218426248,0.089069226,0.126979696,1,0.108157053,0.114384074,0.198991962,0.197851488,0.283504062,0.174872356,0.087225377,0.050275423,0.10238952,0.129947502,0.096120985,0.179799358
